keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
MENU_OPTIMIZE_SET,Optimize,Optimiser,优化,最適化,최적화,最佳化,Оптимизация,Optymalizacja,Optimizar,Otimizar,Optimieren,Optimize,Optimizza
OPT_WEAPON_TRANSPARENCY,Weapon Transparency,Transparence de l'arme,武器不透明度,武器の透明度,무기 불투명도,武器不透明度,Прозрачность оружия,Przezroczystość broni,Transparencia del arma,Transparência da arma,Waffentransparenz,Silah Saydamlığı,Trasparenza arma
OPT_ENEMY_TRANSPARENCY,Enemy Transparency,Transparence de l'ennemi,敌人透明度,敵の透明度,적 불투명도,敵人透明度,Прозрачность врагов,Przezroczystość wrogów,Transparencia del enemigo,Transparência do inimigo,Gegnertransparenz,Düşman Saydamlığı,Trasparenza nemico
OPT_ENEMY_PROJ_TRANSPARENCY,Enemy Transparency,Transparence des projectiles ennemis,敌人子弹不透明度,敵の弾の透明度,적 투사체 불투명도,敵人子彈不透明度,Прозрачность вражеских снарядов,Przezroczystość pocisków wrogów,Transparencia de proyectiles enemigos,Transparência de projéteis inimigos,Feindliche Projektiltransparenz,Düşman Mermisi Saydamlığı,Trasparenza proiettili nemici
OPT_OPTIMIZE_PICK_UP,Optimize Pick Up,Optimiser le ramassage,拾取优化,拾い最適化,획득 최적화,拾取最佳化,Оптимизация подбора,Optymalizacja zbierania,Optimizar recolección,Otimizar coleta,Aufheben optimieren,Toplama Optimizasyonu,Optimizza raccolta
OPT_GOLD_TRANSPARENCY,Material Transparency,Transparence des matériaux,材料不透明度,素材の透明度,재료 불투명도,材料不透明度,Прозрачность материалов,Przezroczystość materiałów,Transparencia de materiales,Transparência de materiais,Materialtransparenz,Malzeme Saydamlığı,Trasparenza materiali
OPT_CONSUMABLE_TRANSPARENCY,Consumable Transparency,Transparence des consommables,消耗品不透明度,消耗品の透明度,소모품 불투명도,消耗品不透明度,Прозрачность расходников,Przezroczystość przedmiotów zużywalnych,Transparencia de consumibles,Transparência de consumíveis,Verbrauchsgütertransparenz,Tüketim Malzemesi Saydamlığı,Trasparenza consumabili
OPT_RAINBOW_GOLD,Rainbow Material,Matériau arc-en-ciel,彩虹材料,虹色素材,무지개 재료,彩虹材料,Радужный материал,Tęczowy materiał,Material arcoíris,Material arco-íris,Regenbogenmaterial,Gökkuşağı Malzemesi,Materiale arcobaleno
OPT_EMPTY,Empty,Vide,空,空,비어 있음,空,Пусто,Puste,Vacío,Vazio,Leer,Boş,Vuoto
OPT_EXLIGHT,Extreme Light,Extrêmement clair,极浅,極浅,극히 밝음,極淺,Сверхсветлый,Ekstremalnie jasny,Extremadamente claro,Extremamente claro,Extrem hell,Aşırı Açık,Estremamente chiaro
